codeSad,nomM,nomF
12008,Vice-doyen (éduc.méd.cont),Vice-doyenne (éduc.méd.cont)
12009,Vice-doyen (int.et rés.),Vice-doyenne (int.et rés.)
12010,Vice-doyen aux études supérieures et à la recherche,Vice-doyenne aux études supérieures et à la recherche
12011,Vice-doyen aux études de premier cycle,Vice-doyenne aux études de premier cycle
12012,Vice-doyen aux affaires professorales,Vice-doyenne aux affaires professorales
12013,Vice-doyen/ne (éduc.perm.),Vice-doyen/ne (éduc.perm.)
12014,Vice-doyen aux affaires cliniques,Vice-doyenne aux affaires cliniques
12015,V.doyen/ne (aff.hosp.et rég.),V.doyen/ne (aff.hosp.et rég.)
12016,V.doyen (aff.acad.1er cy.),V.doyenne (aff.acad.1er cy.)
12017,Vice-doyen Planification,Vice-doyenne Planification
12018,V.doyen/ne (gest.et aff.prof),V.doyen/ne (gest.et aff.prof)
12019,V.doyen/ne (ét.méd.postdoct.),V.doyen/ne (ét.méd.postdoct.)
12020,Vice-doyen/ne (ress.humaines),Vice-doyen/ne (ress.humaines)
12021,V.doyen/ne (sc.santé publ.),V.doyen/ne (sc.santé publ.)
12022,V.doyen/ne (administration),V.doyen/ne (administration)
12023,V.doyen/ne (éduc.et aff.étud),V.doyen/ne (éduc.et aff.étud)
12024,"Directeur adj,École optométrie","Directrice adj,Éc. optométrie"
12025,"Directrice adj,Dp.kinésiologie","Directeur adj,Dép.kinésiologie"
12026,Vice-doyen associé,Vice-doyenne associée
12101,Admin.exerç.fonct.v.-doyen,Admin.exerç.fonct.v.-doyenne
12102,Vice-doyen/ne  intérimaire,Vice-doyen/ne  intérimaire
12103,Directeur,Directrice
12104,Administrateur exerçant les fonctions de directeur,Administratrice exerçant les fonctions de directrice
12105,Resp.études supérieures,Resp.études supérieures
12106,Resp.aff.académiques,Resp.aff.académiques
12201,Secrétaire de faculté,Secrétaire de faculté
12202,Secrétaire intérimaire,Secrétaire intérimaire
12203,Administrateur exerçant les fonctions de secrétaire,Administratrice exerçant les fonctions de secrétaire
12204,adj. au secr. de faculté,adj. au secr. de faculté
12301,vice-doyen/ne adjoint/e,vice-doyen/ne adjoint/e
12401,Adjoint au doyen,Adjointe au doyen
12402,Adjoint au doyen (rech.),Adjoint au doyen (rech.)
12403,Adjoint au doyen (curr.),Adjoint au doyen (curr.)
12404,Adjoint au doyen(aff.ét.),Adjoint au doyen(aff.ét.)
12405,Adjoint au doyen(éd.méd.),Adjoint au doyen(éd.méd.)
12406,Adj.au doyen (ét.1er cy.),Adj.au doyen (ét.1er cy.)
12407,Adj.au doyen (méd.famil.),Adj.au doyen (méd.famil.)
12408,Adj.au doyen (étud. sup.),Adj.au doyen (étud. sup.)
12409,Adj.au doy.(pédag.médic.),Adj.au doy.(pédag.médic.)
12410,Adj.doyen(aff.ét./admis.),Adj.doyen(aff.ét./admis.)
12501,Adj.vice-doyen,Adj. vice-doyenne
12502,Adj.au vice-doyen(résid.),Adj.au vice-doyen(résid.)
12503,Adj.au v.doy.(soins prim),Adj.au v.doy.(soins prim)
12504,Adj.v.-doy.(ét.post-doct),Adj.v.-doy.(ét.post-doct)
12505,Adj.v.-d.(rech.étud.sup.),Adj.v.-d.(rech.étud.sup.)
12506,Adj.v.d.(ét.méd.postdoct),Adj.v.d.(ét.méd.postdoct)
12507,Adj.v.-doy.(ét.1er cycle),Adj.v.-doy.(ét.1er cycle)
12601,Adj.au doyen par intérim,Adj.au doyen par intérim
12602,Adm.exerç.fonct.adj.doyen,Adm.exerç.fonct.adj.doyen
12605,Adj.au v.-doy.par intérim,Adj.au v.-doy.par intérim
12606,Adm.ex.fonct.adj.v.-doyen,Adm.ex.fonct.adj.v.-doyen
13000,Secrétaire général,Secrétaire générale
13001,Directeur de département,Directrice de département
13002,Adjoint au/à la doyen/ne,Adjointe au/à la doyen/ne
13010,Vice-recteur (vie étudiante),Vice-rectrice (vie étudiante)
13020,Vice-recteur (dév.rel.diplômé),Vice-rectrice(dév.rel.diplômé)
13030,Vice-recteur (resp.études sup),Vice-rectrice(resp.études sup)
13040,Vice-recteur adjoint (adm.fin),Vice-rectrice adjointe(adm.fi)
13050,Vice-recteur adj. (aff.inst),Vice-rectrice adj. (aff.inst)
13060,Vice-recteur adjoint administr,Vice-rectrice adjointe adminis
13101,Directeur intérimaire,Directrice intérimaire
13201,Admin.par délég. doyen,Admin.par délég. doyenne
13203,Admin.exerç.fonct.dir.,Admin.exerç.fonct.dir.
13301,Directeur adjoint,Directrice adjointe
13302,Directeur,Directrice
13303,Admin.exerç.fonct.dir.adj,Admin.exerç.fonct.dir.adj
13401,Adjoint au directeur,Adjoint au directeur
13403,Adj.au direct.par intérim,Adj.au direct.par intérim
13501,Directeur des cliniques,Directeur des cliniques
13502,Directeur stages externes,Directeur stages externes
13801,Directeur de la Station de biologie des Laurentides,Directrice de la Station de biologie des Laurentides
13810,Direct.intérim.stat.biol.,Direct.intérim.stat.biol.
13850,Secrétaire,Secrétaire
13851,Secrétaire intérimaire,Secrétaire intérimaire
13902,Fonct.extérieure à UdeM,Fonct.extérieure à UdeM
13920,Vice-recteur  aff.publ-dévelop,Vice-rectrice aff.publ-dévelop
13930,Vice-recteur (Planification),Vice-rectrice (Planification)
13940,Vice-recteur (form. continue),Vice-rectrice (form.continue)
13950,Vice-recteur (Aff. publique),Vice-rectrice (Aff. publique)
13960,Vice-recteur (Aff. publique),Vice-rectrice (Aff. publique)
13970,Vice-recteur (Ress. humaines),Vice-rectrice (Ress. humaines)
13980,Vice-recteur (Études-recher.),Vice-rectrice (Études-recher.)
13990,Vice-recteur (Administration),Vice-rectrice (Administration)
14001,Chef de section,Chef de section
14020,Vice-recteur (Études),Vice-rectrice (Études)
14021,Admin.par délég.du doyen,Admin.par délég.du doyen
14030,Vice-recteur (Recherche),Vice-rectrice (Recherche)
14031,Chef intérim.de section,Chef intérim.de section
14032,Resp.intér.droit notarial,Resp.intér.droit notarial
14040,Vice-recteur adm. et finances,Vice-rectrice adm. et finances
14041,Directeur,Directrice
14042,Dir.(enseignement),Dir.(enseignement)
14043,Directeur intérimaire ens,Directeur intérimaire ens
14050,Vice-recteur adj.aux études,Vice-rectrice adj. aux études
14051,Responsable de programme,Responsable de programme
14052,Resp. de prog. intérim.,Resp. de prog. intérim.
14053,Adjoint au resp. de prog.,Adjoint au resp. de prog.
14060,Vice-recteur (Aff. profess.),Vice-rectrice (Aff. profess.)
14070,Vice-recteur exécutif,Vice-rectrice exécutive
14071,Coordonnateur ens. un.,Coordonnateur ens. un.
14072,Coord. intérim. ens.univ.,Coord. intérim. ens.univ.
14080,Vice-recteur adjoint (T.I.C.),Vice-rectrice adjointe(T.I.C.)
14090,Vice-recteur exécutif adj.,Vice-rectrice exécutive adj.
14091,Resp.intér.coord.ens.un.,Resp.intér.coord.ens.un.
14100,Vice-recteur aux res. humaines,Vice-rectrice aux res.humaines
14110,"Vice-recteur adj. (RH, gest)","Vice-rectrice adj. (RH,gest)"
14111,Responsable de section,Responsable de section
14113,Resp. de section intérim.,Resp. de section intérim.
14115,Responsable de clinique,Responsable de clinique
14120,Vice-recteur adjoint à la recherche,Vice-rectrice adjointe à la recherche
14121,Responsable coordination,Responsable coordination
14130,Vice-recteur adj. (Enseignem.),Vice-rectrice adj.(Enseignem.)
14131,Respons.droit notarial,Respons.droit notarial
14132,Resp.intér.droit notarial,Resp.intér.droit notarial
14140,Registraire,Registraire
14150,Vice-recteur adj. (Enseignem.),Vice-rectrice adj.(Enseignem.)
14151,Coordonnateur de prog.,Coordonnateur de prog.
14160,Vice-recteur (Études),Vice-rectrice (Études)
14170,Vice-recteur adjoint à la recherche,Vice-rectrice adjointe à la recherche
14171,Président comité admiss.,Président comité admiss.
14172,Directeur progr. facult.,Directeur progr. facult.
14173,Dir.serv.fac.gestion ét.,Dir.serv.fac.gestion ét.
14174,Dir.adj.serv.fac.gest.ét.,Dir.adj.serv.fac.gest.ét.
14176,Responsable admissions,Responsable admissions
14180,Dir. des serv. cliniques,Dir. des serv. cliniques
14190,Vice-recteur adj.- aff.prof.,Vice-rectrice adj. - aff.prof.
14191,Membre comité d'anim.péd.,Membre comité d'anim.péd.
14192,Responsable ens.1er cycle,Responsable ens.1er cycle
14193,Adjoint aux programmes,Adjoint aux programmes
14194,Adjoint cours de service,Adjoint cours de service
14195,Adjoint au 1er cycle,Adjoint au 1er cycle
14196,Adjoint aux études supér.,Adjoint aux études supér.
14197,Adjoint au dével.et rech.,Adjoint au dével.et rech.
14200,Vice recteur adj.(syst. et TI),Vice rectrice adj.(syst.et TI)
14210,Vice-recteur adjoint aux études supérieures,Vice-rectrice adjointe aux études supérieures
14220,Vice recteur adj. com. aff.ins,Vice rectrice adj. com.aff.ins
14230,Vice recteur adj.vie étudiante,Vice rectrice adj.vie étudiant
14240,Vice recteur inter.et rel.inst,Vice rectrice inter.et rel.ins
14250,Vice-recteur - Rel.internation,Vice-rectrice -Rel.internation
15000,Conseiller spécial - rel.inst.,Conseillère spéciale-rel.inst.
21001,Directeur,Directrice
21101,Directeur intérimaire,Directrice intérimaire
21201,Adm. par délég. du doyen,Adm. par délég. du doyen
21203,Admin. Ex. les fonct. de dir.,Admin. Ex. les fonct. de dir.
21205,Responsable de la direction,Responsable de la direction
21301,Directeur adjoint,Directrice adjointe
21401,Adjoint au directeur,Adjoint au directeur
21801,Dir. du labo.de phys. nucl.,Dir. du labo.de phys. nucl.
21802,Dir. de l'obs.astr.Mt Mégantic,Dir. de l'obs.astr.Mt Mégantic
21810,Dir.int.du labo.de phys. nucl.,Dir.int.du labo.de phys. nucl.
21821,Dir.int.de l'obs.astr.MtMégant,Dir.int.de l'obs.astr.MtMégant
21822,Admin.de l'obs.astron.MtMégant,Admin.de l'obs.astron.MtMégant
22001,Directeur d'un groupe de recherche,Directrice d'un groupe de recherche
22051,Responsable,Responsable
22101,Dir.intérim. de groupe de rech,Dir.intérim. de groupe de rech
22151,Coord. groupe de recherche,Coord. groupe de recherche
22201,Secrétaire,Secrétaire
31001,Directeur principal,Directrice principale
31002,Dir Grande campagne Campus Mtl,Dir Grande campagne Campus Mtl
31003,Conseiller spécial,Conseillère spéciale
31004,Dir. général du site Outremont,Directrice générale-Outremont
31005,Dir. admin. fonds de recherche,Dir. admin. fonds de recherche
31010,Directeur général,Directrice générale
31011,Directeur général,Directrice générale
31040,Directeur (Dévelop.-inform.),Directrice (Dévelop.-inform.)
31041,Directeur,Directrice
31042,Directeur général (Serv. info),Directrice générale(Serv.info)
31043,Directeur (Planification),Directrice (Planification)
31044,Directeur adj. (Développement),Directrice adj.(Développement)
31045,Directeur des communications,Directrice des communications
31046,Directeur associé,Directrice associée
31047,Administrateur délégué,Administratrice déléguée
31048,Directeur général,Directrice générale
31049,Administrateur délégué,Administratrice déléguée
31133,Directeur des aff. juridiques,Directrice des aff. juridiques
31134,Directeur  (s.i.e.s.),Directrice  (s.i.e.s.)
31166,Directeur,Directrice
31168,Dir. gen. Services financiers,Dir. gen. Services financiers
31200,Chef de cabinet - rectorat,Chef de cabinet - rectorat
31201,Président directeur général,Présidente directrice générale
31203,Chef de cabinet-dir. aff.gouv.,Chef de cabinet-dir. aff.gouv.
31220,Doyen,Doyenne
31352,Directeur intérimaire,Directrice par intérim
31369,Directeur des entrepr. auxil.,Directrice des entrepr. auxil.
31445,Directeur des grands projets,Directrice des grands projets
31446,Adjoint au recteur,Adjointe au recteur
31447,Adjoint au recteur,Adjointe au recteur
31461,Président (ccss),Présidente (ccss)
31465,Directeur technique,Directrice technique
31498,S.P.E.,S.P.E.
31499,Registraire,Registraire
32001,Responsable vie étudiante,Responsable vie étudiante
32002,Adjoint au directeur général,Adjointe au directeur général
32003,Adjoint au directeur général,Adjointe au directeur général
32004,Directeur de bureau,Directrice de bureau
32005,Directeur de bureau,Directrice de bureau
32006,Directeur de division,Directrice de division
32007,Directeur de division,Directrice de division
32008,Directeur de la recherche,Directrice de la recherche
32009,Directeur général adjoint,Directrice générale adjointe
32010,Secrétaire général adjoint,Secrétaire générale adjointe
32011,Directeur (s.o.c.p.),Directrice (s.o.c.p.)
32012,Directeur (Gest.et placements),Directrice(Gest.et placements)
32013,Adjoint au vice-recteur,Adjointe au vice-recteur
32014,Adjoint au développement,Adjointe au développement
32015,Directeur (Serv. des magasins),Directrice (Serv.des magasins)
32016,Adjoint directeur à la coordin,Adjointe directrice à la coord
32017,Adjoint direct. et chef divis,Adjointe direct. et chef divis
32018,Coordonnateur etabl.de sante,Coordonnatrice etabl.de sante
32019,Directeur des serv.comptables,Directrice des serv.comptables
32020,Directeur dévelop.et produc.,Directrice dévelop.et produc.
32021,Directeur-Serv.des résidences,Directrice-Serv. des résideces
32022,Directeur-Bur.de planific.inf.,Directrice-Bur.de planific.inf
32023,Directeur relations travail,Directrice relations travail
32024,Adjoint au registraire,Adjointe au registraire
32025,Adjoint au registraire,Adjointe au registraire
32026,Directeur du dévelop.des aff.,Directrice du dévelop.des aff.
32027,Directeur des serv.de la qual.,Directrice des serv.de la qual
32028,Premier vice-prédident,Première vice-présidente
32029,Directeur des grands projets,Directrice des grands projets
32030,Administrateur,Administratrice
32031,Directeur des serv.cliniques,Directrice des serv.cliniques
32032,Directeur serv. aux usagers,Directrice serv. aux usagers
32033,Directeur gestion de projets,Directrice gestion des projets
32034,Directeur plan.et gest.espaces,Directrice plan.et gest.espace
32035,Directeur - appl.informatiques,Directrice - appl.informatique
32036,Directeur appl. informatiques,Directrice appl. informatiques
32037,Directeur col. et acquisitions,Directrice col.et acquisitions
32038,Directeur,Directrice
32039,Directeur 1/2 temps,Directrice 1/2 temps
32040,Adj.au vice-recteur adj.-rech.,Adj.au vice-recteur adj.-rech.
32041,Archiviste,Archiviste
32042,Directeur(Serv.consult.-dével),Directrice(Serv.consult-dével)
32043,Adjoint au doyen,Adjointe au doyen
32044,Adj.au directeur(dévelop-tech),Adj.au directeur(dévelop-tech)
32045,Dir.dévelop.organis.et individ,Dir.dévelop.organis.et individ
32046,Directeur planif. des RH,Directrice planif. des RH
32047,Directeur (Envir.de travail),Directrice (Envir.de travail)
32048,Adj. au directeur (Gest.qual.),Adj. au directeur (Gest.qual.)
32049,Adj.au vice-recteur adj.-rech.,Adj.au vice-recteur adj.-rech.
32050,Adjoint à la vice-rectrice,Adjointe à la vice-rectrice
32051,Directeur des opérations,Directrice des opérations
32052,Directeur scientifique,Directrice scientifique
32053,Adj. au vice-recteur adjoint,Adj. au vice-recteur adjoint
32054,Directeur syst. informatiques,Directrice syst. informatiques
32055,Directeur infrastructures,Directrice infrastructures
32056,Directeur télécommunications,Directrice télécommunications
32057,Directeur programmes sportifs,Directrice programmes sportifs
32058,Directeur des syst. d'inform.,Directrice des syst. d'inform.
32059,Directeur de la dotation,Directrice de la dotation
32060,Chef de cabinet,Chef de cabinet
32061,Directeur de programme,Directrice de programme
32062,Dir. collect. et livres rares,Dir. collect. et livres rares
32063,Secrétaire gén. adj.,Secrétaire gén. adj.
32064,Dir. dons maj. & planif.,Dir. dons maj. & planif.
32065,Adjoint au directeur,Adjointe au directeur
32066,Directeur des opér.budgétaires,Directrice des opér.budgétaire
32067,Dir. rel. entr. & fondat.,Dir. rel. entr. & fondat.
32068,Dir. planif. & dév. immobilier,Dir. planif. & dév. immobilier
32069,Adj-doyen et vice-recteur adj,Adj-doyen et vice-recteur adj
32070,Directeur programmes princ.,Directrice programmes princ.
32071,Directeur gestion des talents,Directrice gestion des talents
32072,Dir. - Services-conseils,Dir. - Services-conseils
32073,Dir.-Serv. RH & Santé travail,Dir.-Serv. RH & Santé travail
32074,Dir. - Dévelop. stratégique RH,Dir. - Dévelop. stratégique RH
32075,Directeur adjoint (Ress.hum.),Directrice adjointe(Ress.hum.)
32076,Directeur  (s.s.e.),Directrice  (s.s.e.)
32077,Directeur technique,Directrice technique
32078,Chef comptable,Chef comptable
32079,Chef de division (Animaleries),Chef de division (Animaleries)
32080,Directeur (s.s.e.),Directrice (s.s.e.)
32081,Adjoint à la dir. générale,Adjointe à la dir. générale
32082,Directeur de l'exploitation,Directrice de l'exploitation
32083,Directeur image et position.,Directrice image et position.
32084,Directeur recrutement,Directrice recrutement
32085,Directeur de cabinet,Directrice de cabinet
32086,Dir. perform. organisat.,Dir. perform. organisat.
32087,Dir serv. cons. et santé trav.,Dir serv. cons. et santé trav.
32088,"Directrice,  Chimie médicinale","Directeur,  Chimie médicinale"
32089,"Directeur, Bureau du doyen","Directrice, Bureau du doyen"
32090,Dir. trait. doc. - métadonnées,Dir. trait. doc. - métadonnées
32091,Directeur des technologies,Directrice des technologies
32092,Directeur rech. subventionnée,Directrice rech. subventionnée
32093,Dir. soutien réussite-rech-ens,Dir. soutien réussite-rech-ens
32094,Dir. bureau de projet,Dir. bureau de projet
32095,"Dir. exécutif, IDDEC","Dir. exécutive, IDDEC"
32096,Négociateur princ. pers. ens.,Négociatrice princ. pers. ens.
32097,Directeur - Services RH,Directrice - Services RH
32098,"Directeur, dév. site Outremont","Directeur, dév. site Outremont"
32099,Directeur foot.entraineur-chef,Directrice foot. entrain.-chef
32100,Directeur du Bureau de la conduite responsable en recherche,Directrice du Bureau de la conduite responsable en recherche
32101,Dir. admin. fonds de recherche,Dir. admin. fonds de recherche
32102,Contrôleur,Contrôleuse
32103,Directeur Prog. Scient.-IVADO,Directrice Prog. Scient.-IVADO
32104,Directeur sv. prof.vétérinaire,Directrice sv.prof.vétérinaire
32105,Directeur division télécom.,Directrice division télécom.
32106,"Directeur, Bur. doyen et comm.","Directeur, Bur. doyen et comm."
32107,"Directeur exécutif, CIQSS","Directrice exécutive, CIQSS"
32108,Dir. solution gesti. effectif,Dir. solution gesti. effectif
32121,Directeur bureau syst. d'info.,Directrice bureau syst. d'info
32122,Conseiller spécial,Conseillère spéciale
32123,Directeur (s.a.c.),Directrice (s.a.c.)
32124,Dir. rech. contract. partenar.,Dir. rech. contract. partenar.
32125,"Dir Cabinet doyenne, comm RP","Dir Cabinet doyenne, comm RP"
32129,Technicien principal (labo),Technicienne principale (labo)
32130,Dir. princ. rel. avec diplômés,Directrice princ. rel.diplômés
32132,Directeur (sante),Directrice (sante)
32138,Directeur (information),Directrice (information)
32162,Directeur adjoint,Directrice adjointe
32165,Directeur adjoint chef div.,Directrice adjointe chef div.
32166,Directeur,Directrice
32167,Directeur des budgets,Directrice des budgets
32168,Directeur des admissions,Directrice des admissions
32169,Directeur administratif,Directrice administrative
32170,Directeur principal,Directrice prinicpale
32201,Président directeur général,Présidente directrice générale
32220,Vice-doyen,Vice-doyenne
32221,Vice-doyen,Vice-doyenne
32222,Vice-doyen adjoint,Vice-doyenne adjointe
32223,Vice-doyen adjoint,Vice-doyenne adjointe
32331,Trésorier,Trésorière
32332,Dir.bureau d'interv. d'harcel.,Dir.bureau d'interv. d'harcel.
32352,Directeur intérimaire,Directrice intérimaire
32353,Directeur technique (Intérim),Directrice technique (Intérim)
32359,Adjoint au directeur(pro.phy.),Adjointe au directeur(pro.phy)
32360,Adjoint au directeur (Projets),Adjointe au directeur(Projets)
32361,Directeur subven. et commun.,Directrice subven. et commun.
32362,Directeur scientifique,Directrice scientifique
32413,Vice-doyen (Administration),Vice-doyenne (Administration)
32415,Registraire adjoint,Registraire adjointe
32416,Vice-doyen (Recherche),Vice-doyenne (Recherche)
32417,Vice-doyen (Développement),Vice-doyenne (Développement)
32418,Vice-doyen à la gestion,Vice-doyenne à la gestion
32420,Vice-doyen (Programme),Vice-doyenne (Programme)
32431,Adjoint à la vice-rectrice,Adjointe à la vice-rectrice
32432,Adjoint au directeur (s.p.e.),Adjointe au directeur (s.p.e.)
32433,Adj. au directeur(rel.travail),Adj. au directeur(rel.travail)
32434,Directeur (Sports),Directrice (Sports)
32436,Conseiller technique,Conseillère technique
32440,Registraire adjoint (Admin.),Registraire adjointe (Admin.)
32441,Dir. sécurité et prévention,Dir. sécurité et prévention
32459,Chef de mission,Chef de mission
32503,Chef de division (s.m.e.),Chef de division (s.m.e.)
32504,Chef des services cliniques,Chef des services cliniques
32510,Secrétaire (f.a.s.),Secrétaire (f.a.s.)
32550,Attaché de coopération,Attachée de coopération
32551,Adj. vice-recteur recherche,Adj. vice-recteur recherche
32592,Chef (Systèmes et méthodes),Chef (Systèmes et méthodes)
32600,Directeur général,Directrice générale
32601,Chef de service,Chef de service
32602,Chef de bibliothèque,Chef de bibliothèque
32603,Directeur de bibliothèque,Directrice de bibliothèque
32604,Dir. ress. mat. & phys.,Dir. ress. mat. & phys.
32605,Directeur dév.effectifs étud.,Directrice dév.effectifs.étud.
32606,Directeur rech. et valorisatio,Directrice rech. et valorisati
32607,Conseiller princ. aux études,Conseillère princ. aux études
32608,Directeur de progr. académique,Directrice de progr. académiqu
32609,Directeur - services technique,Directrice -services technique
32610,Directeur-sécur. informatique,Directrice-sécur. informatique
32611,Dir exploitation TI et soutien,Dir exploitation TI et soutien
32612,Dir. architecture et projet TI,Dir. architecture et projet TI
32613,Dir. solution aff. institutio.,Dir. solution aff. institutio.
32837,Secrétaire du conseil,Secrétaire du conseil
32838,Secrétaire,Secrétaire
32839,Dir. position. institutionnel,Dir. position. institutionnel
32840,Trésorier,Trésorière
32841,Dir.communic. et marketing,Dir. communic. et marketing
32966,Directeur adj. tech.,Directeur adj. tech.
32967,Directeur de la planification,Directrice de la planification
32975,Adjoint au vice-recteur,Adjointe au vice-recteur
32976,Dir. des serv. administratifs,Dir. des serv. administratifs
