idsadvr,sexe,langues.nom,langues.medium,affiliations.fonction.codeSad,affiliations.fonction.nom,formations.diplome,formations.annee,formations.institutions.nom,formations.institutions.paysNom,formations.institutions.paysCode
in13599,M,Anglais,Oral,42001,Professeur titulaire,Maîtrise,1988,Université McGill,Canada,CA
in13599,M,Français,Oral,42001,Professeur titulaire,Doctorat,1991,Université McGill,Canada,CA
in13599,M,Français,Oral,42001,Professeur titulaire,Maîtrise,1988,Université McGill,Canada,CA
in13601,F,,,42032,Professeure associée,,,,,
in13601,F,,,42099,Professeure émérite,,,,,
in13601,F,,,53091,Chercheuse,,,,,
in13602,M,Anglais,Écrit,42032,Professeur associé,,,,,
in13602,M,Anglais,Écrit,42098,Professeur honoraire,,,,,
in13602,M,Français,Écrit,42032,Professeur associé,,,,,
in13602,M,Français,Écrit,42098,Professeur honoraire,,,,,
in13602,M,Anglais,Oral,42032,Professeur associé,,,,,
in13602,M,Anglais,Oral,42098,Professeur honoraire,,,,,
in13602,M,Français,Oral,42032,Professeur associé,,,,,
in13602,M,Français,Oral,42098,Professeur honoraire,,,,,
in13603,M,,,42001,Professeur titulaire,B.A.,1969,Université Laval,Canada,CA
in13603,M,,,42001,Professeur titulaire,M.A.,1970,Université York,Canada,CA
in13603,M,,,42001,Professeur titulaire,Ph.D.,1978,Université York,Canada,CA
in13603,M,,,42032,Professeur associé,B.A.,1969,Université Laval,Canada,CA
in13603,M,,,42032,Professeur associé,M.A.,1970,Université York,Canada,CA
in13603,M,,,42032,Professeur associé,Ph.D.,1978,Université York,Canada,CA
in13603,M,,,42098,Professeur honoraire,B.A.,1969,Université Laval,Canada,CA
in13603,M,,,42098,Professeur honoraire,M.A.,1970,Université York,Canada,CA
in13603,M,,,42098,Professeur honoraire,Ph.D.,1978,Université York,Canada,CA
in13604,M,,,42006,Professeur agrégé,,,,,
in13605,M,,,42001,Professeur titulaire,,,,,
in13606,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13606,M,Français,Oral,42001,Professeur titulaire,,,,,
in13608,F,Français,Écrit,42098,Professeure honoraire,PhD,1977,Université Stanford,États-Unis,US
in13608,F,Français,Écrit,42098,Professeure honoraire,BSc,1974,Université de Montréal,Canada,CA
in13608,F,Français,Écrit,42099,Professeure émérite,PhD,1977,Université Stanford,États-Unis,US
in13608,F,Français,Écrit,42099,Professeure émérite,BSc,1974,Université de Montréal,Canada,CA
in13608,F,Français,Oral,42098,Professeure honoraire,PhD,1977,Université Stanford,États-Unis,US
in13608,F,Français,Oral,42098,Professeure honoraire,BSc,1974,Université de Montréal,Canada,CA
in13608,F,Français,Oral,42099,Professeure émérite,PhD,1977,Université Stanford,États-Unis,US
in13608,F,Français,Oral,42099,Professeure émérite,BSc,1974,Université de Montréal,Canada,CA
in13609,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13609,M,Français,Oral,42001,Professeur titulaire,,,,,
in13610,M,Français,Écrit,42001,Professeur titulaire,Doctorat,1989,Université McGill,Canada,CA
in13610,M,Français,Écrit,42001,Professeur titulaire,Postdorat,1991,Iowa University,États-Unis,US
in13610,M,Français,Écrit,42001,Professeur titulaire,Spécialisation en pédiatrie et néonatalogie,1985,Université McGill,Canada,CA
in13610,M,Français,Écrit,42001,Professeur titulaire,MD,1980,Université de Montréal,Canada,CA
in13610,M,Français,Écrit,42001,Professeur titulaire,Doctorat,1989,Université McGill,Canada,CA
in13610,M,Français,Écrit,42001,Professeur titulaire,Postdorat,1991,Iowa University,États-Unis,US
in13610,M,Français,Écrit,42001,Professeur titulaire,Spécialisation en pédiatrie et néonatalogie,1985,Université McGill,Canada,CA
in13610,M,Français,Écrit,42001,Professeur titulaire,MD,1980,Université de Montréal,Canada,CA
in13610,M,Français,Écrit,Z9Z9Z,Professeur accrédité,Doctorat,1989,Université McGill,Canada,CA
in13610,M,Français,Écrit,Z9Z9Z,Professeur accrédité,Postdorat,1991,Iowa University,États-Unis,US
in13610,M,Français,Écrit,Z9Z9Z,Professeur accrédité,Spécialisation en pédiatrie et néonatalogie,1985,Université McGill,Canada,CA
in13610,M,Français,Écrit,Z9Z9Z,Professeur accrédité,MD,1980,Université de Montréal,Canada,CA
in13610,M,Français,Oral,42001,Professeur titulaire,Doctorat,1989,Université McGill,Canada,CA
in13610,M,Français,Oral,42001,Professeur titulaire,Postdorat,1991,Iowa University,États-Unis,US
in13610,M,Français,Oral,42001,Professeur titulaire,Spécialisation en pédiatrie et néonatalogie,1985,Université McGill,Canada,CA
in13610,M,Français,Oral,42001,Professeur titulaire,MD,1980,Université de Montréal,Canada,CA
in13610,M,Français,Oral,42001,Professeur titulaire,Doctorat,1989,Université McGill,Canada,CA
in13610,M,Français,Oral,42001,Professeur titulaire,Postdorat,1991,Iowa University,États-Unis,US
in13610,M,Français,Oral,42001,Professeur titulaire,Spécialisation en pédiatrie et néonatalogie,1985,Université McGill,Canada,CA
in13610,M,Français,Oral,42001,Professeur titulaire,MD,1980,Université de Montréal,Canada,CA
in13610,M,Français,Oral,Z9Z9Z,Professeur accrédité,Doctorat,1989,Université McGill,Canada,CA
in13610,M,Français,Oral,Z9Z9Z,Professeur accrédité,Postdorat,1991,Iowa University,États-Unis,US
in13610,M,Français,Oral,Z9Z9Z,Professeur accrédité,Spécialisation en pédiatrie et néonatalogie,1985,Université McGill,Canada,CA
in13610,M,Français,Oral,Z9Z9Z,Professeur accrédité,MD,1980,Université de Montréal,Canada,CA
in13611,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13611,M,Français,Oral,42001,Professeur titulaire,,,,,
in13614,F,,,42003,Professeure titulaire de clinique,Maîtrise,1978,Université Laval,Canada,CA
in13614,F,,,42003,Professeure titulaire de clinique,M.D.,1976,Université Laval,Canada,CA
in13614,F,,,42099,Professeure émérite,Maîtrise,1978,Université Laval,Canada,CA
in13614,F,,,42099,Professeure émérite,M.D.,1976,Université Laval,Canada,CA
in13615,F,,,42001,Professeure titulaire,D.M.V.,1987,Université de Montréal,Canada,CA
in13615,F,,,42001,Professeure titulaire,Ph.D.,1991,Guelph University,Canada,CA
in13615,F,,,42001,Professeure titulaire,Diplomate,1992,American College of Poultry Veterinarians,États-Unis,US
in13616,F,Français,Écrit,42099,Professeure émérite,,,,,
in13616,F,Français,Oral,42099,Professeure émérite,,,,,
in13617,M,Anglais,Écrit,42001,Professeur titulaire,D.M.V.,1984,Université de Montréal,Canada,CA
in13617,M,Anglais,Écrit,42001,Professeur titulaire,M.Sc. Pathologie et microbiologie vétérinaire,1991,Université de Montréal,Canada,CA
in13617,M,Anglais,Écrit,42001,Professeur titulaire,Ph.D. Microbiologie et immunologie,1994,Université de Montréal,Canada,CA
in13617,M,Français,Écrit,42001,Professeur titulaire,D.M.V.,1984,Université de Montréal,Canada,CA
in13617,M,Français,Écrit,42001,Professeur titulaire,M.Sc. Pathologie et microbiologie vétérinaire,1991,Université de Montréal,Canada,CA
in13617,M,Français,Écrit,42001,Professeur titulaire,Ph.D. Microbiologie et immunologie,1994,Université de Montréal,Canada,CA
in13617,M,Anglais,Oral,42001,Professeur titulaire,D.M.V.,1984,Université de Montréal,Canada,CA
in13617,M,Anglais,Oral,42001,Professeur titulaire,M.Sc. Pathologie et microbiologie vétérinaire,1991,Université de Montréal,Canada,CA
in13617,M,Anglais,Oral,42001,Professeur titulaire,Ph.D. Microbiologie et immunologie,1994,Université de Montréal,Canada,CA
in13617,M,Français,Oral,42001,Professeur titulaire,D.M.V.,1984,Université de Montréal,Canada,CA
in13617,M,Français,Oral,42001,Professeur titulaire,M.Sc. Pathologie et microbiologie vétérinaire,1991,Université de Montréal,Canada,CA
in13617,M,Français,Oral,42001,Professeur titulaire,Ph.D. Microbiologie et immunologie,1994,Université de Montréal,Canada,CA
in13618,M,,,42001,Professeur titulaire,,,,,
in13619,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13619,M,Français,Oral,42001,Professeur titulaire,,,,,
in13620,M,Français,Écrit,42001,Professeur titulaire,Doctorat (Experimental psychology - Visual psychophysics),1991,Université Concordia,Canada,CA
in13620,M,Français,Écrit,42001,Professeur titulaire,Doctorat (Experimental psychology - Visual psychophysics),1991,Université Concordia,Canada,CA
in13620,M,Français,Écrit,42001,Professeur titulaire,Doctorat (Experimental psychology - Visual psychophysics),1991,Université Concordia,Canada,CA
in13620,M,Français,Écrit,42001,Professeur titulaire,Baccalauréat (Honors in experimental psychology),1984,Université Concordia,Canada,CA
in13620,M,Français,Écrit,42001,Professeur titulaire,Maîtrise (Experimental psychology - Visual psychophysics),1986,Université Concordia,Canada,CA
in13620,M,Français,Écrit,42001,Professeur titulaire,Maîtrise (Experimental psychology - Visual psychophysics),1986,Université Concordia,Canada,CA
in13620,M,Français,Écrit,42001,Professeur titulaire,Maîtrise (Experimental psychology - Visual psychophysics),1986,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Doctorat (Experimental psychology - Visual psychophysics),1991,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Doctorat (Experimental psychology - Visual psychophysics),1991,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Doctorat (Experimental psychology - Visual psychophysics),1991,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Baccalauréat (Honors in experimental psychology),1984,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Maîtrise (Experimental psychology - Visual psychophysics),1986,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Maîtrise (Experimental psychology - Visual psychophysics),1986,Université Concordia,Canada,CA
in13620,M,Français,Oral,42001,Professeur titulaire,Maîtrise (Experimental psychology - Visual psychophysics),1986,Université Concordia,Canada,CA
in13622,F,,,42032,Professeure associée,,,,,
in13622,F,,,42098,Professeure honoraire,,,,,
in13623,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13623,M,Français,Oral,42001,Professeur titulaire,,,,,
in13626,M,,,42099,Professeur émérite,,,,,
in13629,F,,,42001,Professeure titulaire,,,,,
in13631,M,Français,Écrit,42032,Professeur associé,Doctorat d'État,1981,Université de Nice,France,FR
in13631,M,Français,Oral,42032,Professeur associé,Doctorat d'État,1981,Université de Nice,France,FR
in13632,F,,,42098,Professeure honoraire,,,,,
in13632,F,,,53091,Chercheuse,,,,,
in13633,M,,,42032,Professeur associé,,,,,
in13633,M,,,42099,Professeur émérite,,,,,
in13634,F,Français,Écrit,42001,Professeure titulaire,,,,,
in13634,F,Français,Oral,42001,Professeure titulaire,,,,,
in13635,M,Anglais,Écrit,42032,Professeur associé,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Anglais,Écrit,42032,Professeur associé,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Anglais,Écrit,42032,Professeur associé,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Anglais,Écrit,42032,Professeur associé,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Anglais,Écrit,42099,Professeur émérite,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Anglais,Écrit,42099,Professeur émérite,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Anglais,Écrit,42099,Professeur émérite,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Anglais,Écrit,42099,Professeur émérite,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Français,Écrit,42032,Professeur associé,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Français,Écrit,42032,Professeur associé,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Français,Écrit,42032,Professeur associé,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Français,Écrit,42032,Professeur associé,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Français,Écrit,42099,Professeur émérite,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Français,Écrit,42099,Professeur émérite,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Français,Écrit,42099,Professeur émérite,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Français,Écrit,42099,Professeur émérite,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Anglais,Oral,42032,Professeur associé,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Anglais,Oral,42032,Professeur associé,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Anglais,Oral,42032,Professeur associé,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Anglais,Oral,42032,Professeur associé,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Anglais,Oral,42099,Professeur émérite,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Anglais,Oral,42099,Professeur émérite,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Anglais,Oral,42099,Professeur émérite,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Anglais,Oral,42099,Professeur émérite,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Français,Oral,42032,Professeur associé,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Français,Oral,42032,Professeur associé,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Français,Oral,42032,Professeur associé,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Français,Oral,42032,Professeur associé,Post-doctorat,1985,University of Calgary,Canada,CA
in13635,M,Français,Oral,42099,Professeur émérite,BSc,1980,Université de Montréal,Canada,CA
in13635,M,Français,Oral,42099,Professeur émérite,MSc,1982,Université de Montréal,Canada,CA
in13635,M,Français,Oral,42099,Professeur émérite,PhD,1984,Université de Montréal,Canada,CA
in13635,M,Français,Oral,42099,Professeur émérite,Post-doctorat,1985,University of Calgary,Canada,CA
in13636,M,,,42006,Professeur agrégé,,,,,
in13637,M,,,42016,Professeur adjoint de clinique,,,,,
in13639,M,,,42001,Professeur titulaire,,,,,
in13642,M,,,42001,Professeur titulaire,D.M.V.,1986,Université de Montréal,Canada,CA
in13642,M,,,42001,Professeur titulaire,I.P.S.A.V. en médecine et chirurgie bovines,1987,Université de Montréal,Canada,CA
in13642,M,,,42001,Professeur titulaire,Résidence en chirurgie des grands animaux,1995,Kansas State University,États-Unis,US
in13642,M,,,42001,Professeur titulaire,M.Sc.,1995,Kansas State University,États-Unis,US
in13642,M,,,42001,Professeur titulaire,Diplomate,1997,American College of Veterinary Surgeons,États-Unis,US
in13644,M,,,42001,Professeur titulaire,,,,,
in13645,M,Anglais,Oral,42001,Professeur titulaire,DVM,1981,UNESP,Brésil,BR
in13645,M,Anglais,Oral,42001,Professeur titulaire,MSc,1983,University of Edinburgh,Royaume-Uni,GB
in13645,M,Anglais,Oral,42001,Professeur titulaire,PhD,1989,University of Edinburgh,Royaume-Uni,GB
in13645,M,Français,Oral,42001,Professeur titulaire,DVM,1981,UNESP,Brésil,BR
in13645,M,Français,Oral,42001,Professeur titulaire,MSc,1983,University of Edinburgh,Royaume-Uni,GB
in13645,M,Français,Oral,42001,Professeur titulaire,PhD,1989,University of Edinburgh,Royaume-Uni,GB
in13646,M,Anglais,Écrit,42001,Professeur titulaire,Doctorat (neurologie),1980,Université de Montréal,Canada,CA
in13646,M,Anglais,Écrit,42001,Professeur titulaire,Maîtrise (neurologie),1977,Université de Montréal,Canada,CA
in13646,M,Anglais,Écrit,42001,Professeur titulaire,M.O.A. ,1976,Université de Montréal,Canada,CA
in13646,M,Anglais,Écrit,42001,Professeur titulaire,Baccalauréat,1974,Université de Montréal,Canada,CA
in13646,M,Anglais,Écrit,42001,Professeur titulaire,Stage post-doctoral (neurologie et neuropsychologie),1982,ÉHÉSS & Hôpital de la Timone,France,FR
in13646,M,Français,Écrit,42001,Professeur titulaire,Doctorat (neurologie),1980,Université de Montréal,Canada,CA
in13646,M,Français,Écrit,42001,Professeur titulaire,Maîtrise (neurologie),1977,Université de Montréal,Canada,CA
in13646,M,Français,Écrit,42001,Professeur titulaire,M.O.A. ,1976,Université de Montréal,Canada,CA
in13646,M,Français,Écrit,42001,Professeur titulaire,Baccalauréat,1974,Université de Montréal,Canada,CA
in13646,M,Français,Écrit,42001,Professeur titulaire,Stage post-doctoral (neurologie et neuropsychologie),1982,ÉHÉSS & Hôpital de la Timone,France,FR
in13646,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,Doctorat (neurologie),1980,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,Maîtrise (neurologie),1977,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,M.O.A. ,1976,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,Baccalauréat,1974,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Écrit,42001,Professeur titulaire,Stage post-doctoral (neurologie et neuropsychologie),1982,ÉHÉSS & Hôpital de la Timone,France,FR
in13646,M,Anglais,Oral,42001,Professeur titulaire,Doctorat (neurologie),1980,Université de Montréal,Canada,CA
in13646,M,Anglais,Oral,42001,Professeur titulaire,Maîtrise (neurologie),1977,Université de Montréal,Canada,CA
in13646,M,Anglais,Oral,42001,Professeur titulaire,M.O.A. ,1976,Université de Montréal,Canada,CA
in13646,M,Anglais,Oral,42001,Professeur titulaire,Baccalauréat,1974,Université de Montréal,Canada,CA
in13646,M,Anglais,Oral,42001,Professeur titulaire,Stage post-doctoral (neurologie et neuropsychologie),1982,ÉHÉSS & Hôpital de la Timone,France,FR
in13646,M,Français,Oral,42001,Professeur titulaire,Doctorat (neurologie),1980,Université de Montréal,Canada,CA
in13646,M,Français,Oral,42001,Professeur titulaire,Maîtrise (neurologie),1977,Université de Montréal,Canada,CA
in13646,M,Français,Oral,42001,Professeur titulaire,M.O.A. ,1976,Université de Montréal,Canada,CA
in13646,M,Français,Oral,42001,Professeur titulaire,Baccalauréat,1974,Université de Montréal,Canada,CA
in13646,M,Français,Oral,42001,Professeur titulaire,Stage post-doctoral (neurologie et neuropsychologie),1982,ÉHÉSS & Hôpital de la Timone,France,FR
in13646,M,Espagnol; castillan,Oral,42001,Professeur titulaire,Doctorat (neurologie),1980,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Oral,42001,Professeur titulaire,Maîtrise (neurologie),1977,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Oral,42001,Professeur titulaire,M.O.A. ,1976,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Oral,42001,Professeur titulaire,Baccalauréat,1974,Université de Montréal,Canada,CA
in13646,M,Espagnol; castillan,Oral,42001,Professeur titulaire,Stage post-doctoral (neurologie et neuropsychologie),1982,ÉHÉSS & Hôpital de la Timone,France,FR
in13647,F,Français,Écrit,42001,Professeure titulaire,Postdoctorat en pharmacoépidémiologie,2000,Harvard Medical School,États-Unis,US
in13647,F,Français,Écrit,42001,Professeure titulaire,Postdoctorat en pharmacoépidémiologie,2000,Harvard Medical School,États-Unis,US
